timestamp_s,frame,face_detected,ear,ear_smooth,mar,eye_closed,pitch,yaw,roll,gaze_x,gaze_y,perclos,blink_rate,blink_duration_ms,microsleep_count,microsleep_dur_ms,yawn_count_recent,score_ear,score_perclos,score_blink,score_pose,score_yawn,attention_score,kss_estimate,fatigue_probability,alert_level,alert_label
14.874,1,1,0.2677,0.2677,0.4337,0,10046.57,19678.9,-60969.63,0.0144,-0.0154,0.0,0.0,0.0,0,0.0,0,100.0,100.0,0.0,0.0,100.0,98.83,1.09,0.037,0,NOMINAL
14.93,2,1,0.1831,0.1856,0.4543,1,9224.87,20927.75,-60320.98,-0.0946,-0.0101,0.5,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,100.0,95.87,1.33,0.045,0,NOMINAL
14.951,3,1,0.2051,0.1953,0.4477,1,8285.31,22003.57,-59863.97,-0.0705,-0.0253,0.6667,0.0,0.0,0,22.4,0,0.0,0.0,0.0,0.0,100.0,93.01,1.56,0.054,0,NOMINAL
14.977,4,1,0.2399,0.2104,0.4351,0,8465.95,22607.43,-58455.14,-0.0367,0.0126,0.5,0.0,0.0,0,0.0,0,20.87,0.0,0.0,0.0,100.0,90.45,1.76,0.063,0,NOMINAL
15.003,5,1,0.3218,0.2397,0.4418,0,8597.7,24143.65,-57530.09,-0.0864,-0.009,0.4,0.0,0.0,0,0.0,0,79.32,0.0,0.0,0.0,100.0,88.56,1.91,0.071,0,NOMINAL
15.034,6,1,0.38,0.2703,0.4387,0,7967.95,-20095.62,60731.21,0.1223,-0.0272,0.3333,0.0,0.0,0,0.0,0,100.0,0.0,0.0,0.0,100.0,86.94,2.04,0.078,0,NOMINAL
15.068,7,1,0.367,0.2887,0.4241,0,7570.81,-20098.45,61843.75,-0.0004,-0.0606,0.2857,0.0,0.0,0,0.0,0,100.0,4.76,0.0,0.0,100.0,85.42,2.17,0.086,0,NOMINAL
15.115,8,1,0.3612,0.3011,0.4354,0,7669.4,-20232.03,62675.33,-0.1271,-0.0545,0.25,0.0,0.0,0,0.0,0,100.0,16.67,0.0,0.0,100.0,84.04,2.28,0.094,0,NOMINAL
15.147,9,1,0.3744,0.3127,0.4402,0,-10091.26,23901.31,-6409.24,-0.2321,-0.1033,0.2222,0.0,0.0,0,0.0,0,100.0,25.93,0.0,0.0,100.0,82.79,2.38,0.101,0,NOMINAL
15.18,10,1,0.4232,0.3292,0.4489,0,-10258.21,23944.37,-6646.78,-0.1871,-0.0425,0.2,0.0,0.0,0,0.0,0,100.0,33.33,0.0,0.0,100.0,81.64,2.47,0.108,0,NOMINAL
15.207,11,1,0.4317,0.3437,0.4512,0,-9715.78,24356.44,-6182.04,-0.1751,-0.0332,0.1818,0.0,0.0,0,0.0,0,100.0,39.39,0.0,0.0,100.0,80.58,2.55,0.115,0,NOMINAL
15.238,12,1,0.442,0.3572,0.451,0,-10401.39,24084.97,-6581.29,-0.1609,0.043,0.1667,0.0,0.0,0,0.0,0,100.0,44.44,0.0,0.0,100.0,79.6,2.63,0.122,0,NOMINAL
