timestamp_s,frame,face_detected,ear,ear_smooth,mar,eye_closed,pitch,yaw,roll,gaze_x,gaze_y,perclos,blink_rate,blink_duration_ms,microsleep_count,microsleep_dur_ms,yawn_count_recent,light_intensity,glare_severity,is_glare_detected,score_ear,score_perclos,score_blink,score_pose,score_yawn,score_glare,attention_score,kss_estimate,fatigue_probability,alert_level,alert_label
11.288,1,1,0.291,0.291,0.4542,0,7836.36,-24122.27,58727.46,-0.017,-0.0398,0.0,0.0,0.0,0,0.0,0,42.8,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,98.97,1.08,0.037,0,NOMINAL
11.382,2,1,0.2866,0.2867,0.4558,0,7422.04,-24342.33,60080.58,-0.0384,-0.0475,0.0,0.0,0.0,0,0.0,0,47.5,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,97.97,1.16,0.039,0,NOMINAL
11.413,3,1,0.2831,0.2849,0.4565,0,7729.56,-24418.64,59938.82,-0.0345,-0.0483,0.0,0.0,0.0,0,0.0,0,46.5,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,97.0,1.24,0.042,0,NOMINAL
11.434,4,1,0.2921,0.2874,0.4586,0,7861.61,-24440.7,59644.55,-0.0241,-0.0393,0.0,0.0,0.0,0,0.0,0,52.5,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,96.07,1.31,0.044,0,NOMINAL
11.464,5,1,0.298,0.2901,0.4578,0,7639.23,-24347.94,59905.49,-0.0247,-0.0403,0.0,0.0,0.0,0,0.0,0,45.7,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,95.17,1.39,0.047,0,NOMINAL
11.494,6,1,0.299,0.2921,0.4561,0,7671.65,-24365.67,59849.6,-0.018,-0.0392,0.0,0.0,0.0,0,0.0,0,57.0,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,94.29,1.46,0.05,0,NOMINAL
11.528,7,1,0.2857,0.2909,0.4554,0,7565.08,-24361.07,59909.88,-0.0214,-0.0392,0.0,0.0,0.0,0,0.0,0,48.2,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,93.45,1.52,0.052,0,NOMINAL
11.562,8,1,0.2912,0.2909,0.4573,0,7691.84,-24246.26,59783.66,-0.0195,-0.0401,0.0,0.0,0.0,0,0.0,0,43.8,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,92.64,1.59,0.055,0,NOMINAL
11.595,9,1,0.2862,0.2902,0.4562,0,7606.92,-24319.6,59840.65,-0.0344,-0.0403,0.0,0.0,0.0,0,0.0,0,43.7,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,91.85,1.65,0.058,0,NOMINAL
11.63,10,1,0.2886,0.2899,0.4566,0,7779.01,-24216.23,59760.59,-0.0407,-0.0368,0.0,0.0,0.0,0,0.0,0,45.5,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,91.09,1.71,0.061,0,NOMINAL
11.661,11,1,0.2871,0.2895,0.456,0,7595.78,-24220.6,59861.7,-0.0445,-0.0411,0.0,0.0,0.0,0,0.0,0,45.1,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,90.35,1.77,0.064,0,NOMINAL
11.693,12,1,0.2854,0.289,0.4566,0,7702.91,-24274.81,59737.6,-0.0424,-0.0405,0.0,0.0,0.0,0,0.0,0,53.0,0.0,0,100.0,100.0,0.0,0.0,100.0,100.0,89.64,1.83,0.066,0,NOMINAL
