timestamp_s,frame,face_detected,ear,ear_smooth,mar,eye_closed,pitch,yaw,roll,gaze_x,gaze_y,perclos,blink_rate,blink_duration_ms,microsleep_count,microsleep_dur_ms,yawn_count_recent,light_intensity,glare_severity,is_glare_detected,light_category,peak_light_recent,score_ear,score_perclos,score_blink,score_pose,score_yawn,score_glare,attention_score,kss_estimate,fatigue_probability,alert_level,alert_label
0.881,1,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,28.4,0.0,0,SAFE,28.4,100.0,100.0,0.0,100.0,100.0,100.0,99.0,1.08,0.037,0,NOMINAL
0.996,2,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,30.4,0.0,0,SAFE,30.4,100.0,100.0,0.0,100.0,100.0,100.0,98.03,1.16,0.039,0,NOMINAL
1.014,3,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,13.5,0.0,0,SAFE,30.4,100.0,100.0,0.0,100.0,100.0,100.0,97.1,1.23,0.041,0,NOMINAL
1.05,4,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,21.6,0.0,0,SAFE,30.4,100.0,100.0,0.0,100.0,100.0,100.0,96.2,1.3,0.044,0,NOMINAL
1.083,5,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,24.6,0.0,0,SAFE,30.4,100.0,100.0,0.0,100.0,100.0,100.0,95.32,1.37,0.046,0,NOMINAL
1.118,6,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,18.0,0.0,0,SAFE,30.4,100.0,100.0,0.0,100.0,100.0,100.0,94.48,1.44,0.049,0,NOMINAL
1.152,7,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,26.0,0.0,0,SAFE,30.4,100.0,100.0,0.0,100.0,100.0,100.0,93.66,1.51,0.052,0,NOMINAL
1.189,8,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,235.6,87.1,1,CRITICAL,235.6,100.0,100.0,0.0,100.0,100.0,12.9,92.87,1.57,0.054,0,NOMINAL
1.225,9,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,32.8,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,92.11,1.63,0.057,0,NOMINAL
1.257,10,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,19.5,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,91.37,1.69,0.06,0,NOMINAL
1.295,11,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,17.9,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,90.66,1.75,0.062,0,NOMINAL
1.329,12,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,28.2,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,89.97,1.8,0.065,0,NOMINAL
1.361,13,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,40.0,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,89.31,1.86,0.068,0,NOMINAL
1.396,14,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,18.1,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,88.66,1.91,0.071,0,NOMINAL
1.43,15,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,18.0,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,88.04,1.96,0.073,0,NOMINAL
1.463,16,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,33.0,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,87.44,2.0,0.076,0,NOMINAL
1.498,17,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,9.4,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,86.86,2.05,0.079,0,NOMINAL
1.536,18,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,10.7,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,86.3,2.1,0.082,0,NOMINAL
1.567,19,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,24.0,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,85.75,2.14,0.084,0,NOMINAL
1.601,20,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,20.6,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,85.23,2.18,0.087,0,NOMINAL
1.637,21,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,27.1,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,84.72,2.22,0.09,0,NOMINAL
1.672,22,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,19.5,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,84.23,2.26,0.093,0,NOMINAL
1.708,23,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,30.1,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,83.76,2.3,0.095,0,NOMINAL
1.744,24,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,37.8,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,83.3,2.34,0.098,0,NOMINAL
1.776,25,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,31.2,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,82.85,2.37,0.101,0,NOMINAL
1.811,26,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,23.3,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,82.43,2.41,0.103,0,NOMINAL
1.847,27,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,35.6,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,82.01,2.44,0.106,0,NOMINAL
1.879,28,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,22.6,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,81.61,2.47,0.108,0,NOMINAL
1.914,29,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,25.5,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,81.22,2.5,0.111,0,NOMINAL
1.948,30,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,5.3,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,80.85,2.53,0.113,0,NOMINAL
1.984,31,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,10.3,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,80.49,2.56,0.116,0,NOMINAL
2.019,32,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,25.7,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,80.14,2.59,0.118,0,NOMINAL
2.053,33,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,35.7,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,79.8,2.62,0.121,0,NOMINAL
2.087,34,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,19.8,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,79.47,2.64,0.123,0,NOMINAL
2.121,35,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,195.5,60.3,1,WARN,235.6,100.0,100.0,0.0,100.0,100.0,39.7,79.16,2.67,0.125,0,NOMINAL
2.157,36,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,197.1,61.4,1,WARN,235.6,100.0,100.0,0.0,100.0,100.0,38.6,78.85,2.69,0.127,0,NOMINAL
2.192,37,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,17.5,0.0,0,SAFE,235.6,100.0,100.0,0.0,100.0,100.0,100.0,78.56,2.72,0.13,0,NOMINAL
2.227,38,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,19.4,0.0,0,SAFE,197.1,100.0,100.0,0.0,100.0,100.0,100.0,78.27,2.74,0.132,0,NOMINAL
2.26,39,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,25.2,0.0,0,SAFE,197.1,100.0,100.0,0.0,100.0,100.0,100.0,78.0,2.76,0.134,0,NOMINAL
2.295,40,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,20.3,0.0,0,SAFE,197.1,100.0,100.0,0.0,100.0,100.0,100.0,77.73,2.78,0.136,0,NOMINAL
2.331,41,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,26.5,0.0,0,SAFE,197.1,100.0,100.0,0.0,100.0,100.0,100.0,77.47,2.8,0.138,0,NOMINAL
2.365,42,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,20.2,0.0,0,SAFE,197.1,100.0,100.0,0.0,100.0,100.0,100.0,77.22,2.82,0.14,0,NOMINAL
2.401,43,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,15.6,0.0,0,SAFE,197.1,100.0,100.0,0.0,100.0,100.0,100.0,76.98,2.84,0.142,0,NOMINAL
2.435,44,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,35.9,0.0,0,SAFE,197.1,100.0,100.0,0.0,100.0,100.0,100.0,76.75,2.86,0.144,0,NOMINAL
2.469,45,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,24.6,0.0,0,SAFE,197.1,100.0,100.0,0.0,100.0,100.0,100.0,76.52,2.88,0.146,0,NOMINAL
2.504,46,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3.8,0.0,0,SAFE,197.1,100.0,100.0,0.0,100.0,100.0,100.0,76.31,2.9,0.148,0,NOMINAL
2.539,47,0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,18.6,0.0,0,SAFE,197.1,100.0,100.0,0.0,100.0,100.0,100.0,76.1,2.91,0.149,0,NOMINAL
